moon_nakshatra,samples,avg_return_pct,median_return_pct,std_return_pct,max_gain_pct,max_loss_pct,win_rate,positive_count,negative_count,average_trading_range,average_body_pct,average_upper_wick_pct,average_lower_wick_pct,average_close_position_pct,average_up_move,average_down_move,high_volatility_pct,low_volatility_pct
ANURADHA,2,0.31241719869663725,0.31241719869663725,0.5334626338745092,0.6896322446189391,-0.0647978472256646,50.0,1,1,165.70000000000073,50.42075320040155,25.134929355199684,24.444317444398767,69.53942614005115,121.64999999999964,44.05000000000109,100.0,0.0
MRIGASHIRA,12,0.021060477447604222,-0.0001713046261670008,0.18513831401515776,0.3446630032143296,-0.2414314779070313,50.0,6,6,81.0541666666674,43.17138727428616,27.899338151600855,28.92927457411298,52.383352901097425,42.63333333333321,38.42083333333418,58.333333333333336,41.66666666666667
ARDRA,20,0.016213682522797267,0.0030948395743323,0.14858228817321278,0.3319720339965931,-0.2879673932305511,50.0,10,10,66.49499999999989,36.84381775201971,23.98525713769058,39.17092511028971,60.32134551902408,30.475,36.01999999999989,30.0,70.0
PURVA_ASHADHA,21,-0.03905413242779996,-0.0502772430832878,0.29895259063316054,0.6381804856759361,-0.6605761888810984,47.61904761904761,10,11,107.09285714285683,47.96713571562948,27.37775471294604,24.65510957142447,44.179226711363135,52.32142857142823,54.77142857142861,61.904761904761905,38.095238095238095
CHITRA,22,0.037749541035822044,-0.0101123664436955,0.2210918345128652,0.451812579281414,-0.3258747465823812,45.45454545454545,10,12,90.89318181818156,45.28248885437854,18.948639747518907,35.768871398102554,61.541683713715926,43.99318181818175,46.8999999999998,59.09090909090909,40.909090909090914
UTTARA_BHADRAPADA,20,0.03848368655044604,-0.01193730337784095,0.20328670706633042,0.4553681143326867,-0.2253306860726504,45.0,9,11,89.50000000000018,44.71873209797383,25.83097983618803,29.450288065838144,52.531705283956114,49.069999999999894,40.43000000000029,60.0,40.0
MULA,23,0.07310965142950474,-0.038618178933679,0.327294394424399,0.9795931909563922,-0.368227903215771,43.47826086956522,10,13,96.45217391304354,58.19203415763715,21.792651268501107,20.015314573861737,53.55257864514134,57.856521739130784,38.59565217391276,60.86956521739131,39.130434782608695
SWATI,12,-0.04232825363771053,-0.025871707664073297,0.1799605464965353,0.1604950287959145,-0.5337997362012088,41.66666666666667,5,7,65.71666666666685,40.42106619650554,37.78455682015103,21.794376983343422,39.444921716061636,34.595833333333154,31.120833333333696,33.33333333333333,66.66666666666666
REVATI,20,-0.06503537992965767,-0.09546585870793664,0.3321188419983988,0.5902964444095079,-0.9941301928591928,40.0,8,12,102.3324999999999,49.94697776767139,19.03806610648759,31.014956125841024,52.325391766057145,35.497499999999675,66.83500000000022,65.0,35.0
HASTA,23,-0.03964912744759513,-0.0773682354649414,0.24173762669894194,0.7286303368384759,-0.3835890247922918,39.130434782608695,9,14,69.1500000000005,53.66373657819703,20.351007221422233,25.98525620038073,44.17611121863009,27.845652173913233,41.30434782608727,26.08695652173913,73.91304347826086
SHRAVANA,16,-0.029946790638875516,-0.048869417885134,0.1650338507294647,0.2484511925015216,-0.4179062492008391,37.5,6,10,76.97812499999986,37.49760292427837,30.768960090542585,31.73343698517905,47.21353804581075,36.237499999999955,40.74062499999991,50.0,50.0
SHATABHISHA,8,-0.038816564264276106,-0.1002445174707321,0.3127774161939142,0.3635388357956891,-0.4934505278336847,37.5,3,5,89.31875000000036,67.01035697744717,5.635238046271754,27.354404976281078,55.93059655407107,31.437500000000455,57.88124999999991,87.5,12.5
PURVA_BHADRAPADA,22,-0.0688213416031211,-0.07385831352101155,0.19050910674075724,0.2692656596802988,-0.3553573385716543,36.36363636363637,8,14,72.29318181818218,51.148425758890774,22.240965724979706,26.610608516129513,44.26104920036222,26.6227272727278,45.67045454545438,50.0,50.0
JYESHTHA,17,-0.09590986770926402,-0.0532241205729425,0.2208541523467585,0.2621741639278334,-0.561929918692482,35.294117647058826,6,11,98.52058823529381,41.732596509898435,29.513692960455217,28.753710529646348,40.55106296739012,38.10882352941168,60.41176470588214,76.47058823529412,23.52941176470588
PUSHYA,19,-0.039216258545769336,-0.0379808310952917,0.2155548212960875,0.4552465451707183,-0.5052500087896603,31.57894736842105,6,13,80.84473684210619,39.070568443933155,30.686196932468395,30.243234623598457,44.261616700093185,35.16052631578924,45.68421052631694,42.10526315789473,57.89473684210527
DHANISHTA,4,-0.07429203342764418,-0.0228587966308278,0.16168003420220114,0.0579308814738363,-0.3093814219227574,25.0,1,3,45.3125,40.59712345350752,26.48055442032855,32.922322126163934,42.60638806023195,13.287500000000364,32.024999999999636,25.0,75.0
VISHAKHA,4,-0.28967636274132247,-0.2669730488769403,0.40677831288956195,0.1692872962400307,-0.79404664945144,25.0,1,3,145.07500000000073,56.89035279202908,13.75326219453477,29.356385013436153,36.842313718876646,30.5625,114.51250000000073,100.0,0.0
