strength,samples,avg_return_pct,median_return_pct,std_return_pct,max_gain_pct,max_loss_pct,win_rate,positive_count,negative_count,average_trading_range,average_body_pct,average_upper_wick_pct,average_lower_wick_pct,average_close_position_pct,average_up_move,average_down_move,high_volatility_pct,low_volatility_pct
Strong Bull,8,0.6924917693279189,0.6639063651474376,0.1502852789961141,0.9795931909563922,0.5104695358550952,100.0,8,0,199.45624999999927,83.91796388268634,6.7257343178915905,9.35630179942208,93.27426568210842,178.49374999999964,20.962499999999636,100.0,0.0
Bull,61,0.29400583183671847,0.2737102551638758,0.06904538181352896,0.4553681143326867,0.2039173378775344,100.0,61,0,107.8631147540985,68.19214994181783,15.349490447713341,16.45835961046883,84.65050955228665,87.93606557377035,19.927049180328154,83.60655737704919,16.39344262295082
Neutral,264,0.00010340974691389438,-0.0107212825053777,0.10416919676645954,0.1977481430213444,-0.1935601781086021,47.34848484848485,125,139,65.47594696969712,34.47246967387497,29.564743767850896,35.96278655827414,52.9193218794065,30.825757575757617,34.6501893939395,29.545454545454547,70.45454545454545
Bear,58,-0.2991688769144558,-0.28154413108503823,0.07424319595330547,-0.2046705783381399,-0.4934505278336847,0.0,0,58,108.2232758620691,67.71884434889385,13.990182276573575,18.29097337453258,18.29097337453258,16.331034482758884,91.89224137931022,94.82758620689656,5.172413793103448
Strong Bear,8,-0.6346645751687108,-0.5478648274468454,0.17608341599864646,-0.5012332779500304,-0.9941301928591928,0.0,0,8,186.0250000000001,81.64505064570099,9.497294985857538,8.857654368441473,8.857654368441473,18.587499999999636,167.43750000000045,100.0,0.0
