hora_lord,samples,avg_return_pct,median_return_pct,std_return_pct,max_gain_pct,max_loss_pct,win_rate,positive_count,negative_count,average_trading_range,average_body_pct,average_upper_wick_pct,average_lower_wick_pct,average_close_position_pct,average_up_move,average_down_move,high_volatility_pct,low_volatility_pct
MERCURY,57,-0.005772422819888061,0.0642745245545337,0.28666915034255086,0.4243152177379036,-0.9941301928591928,56.14035087719298,32,25,100.01842105263175,47.27718437108188,24.469246307574135,28.25356932134398,53.48739505926872,48.1947368421053,51.82368421052646,64.91228070175438,35.08771929824561
SUN,57,0.01132098881098485,0.0088564060282542,0.17766648211491456,0.3896963615849257,-0.3353184354926873,52.63157894736842,30,27,73.56929824561405,43.7090425600426,23.97505129591862,32.31590614403878,56.78981733075551,35.429824561403635,38.13947368421041,42.10526315789473,57.89473684210527
MOON,57,0.008003851231877288,-0.0090634192160996,0.23792782150901334,0.9795931909563922,-0.5012332779500304,49.122807017543856,28,29,81.88333333333337,44.305963718597816,22.6956918195737,32.998344461828474,56.06646838105289,36.57017543859624,45.31315789473714,47.368421052631575,52.63157894736842
JUPITER,57,-0.002530892647091441,-0.0188820968672439,0.21893431203092661,0.5839481850607094,-0.526350628524574,49.122807017543856,28,29,80.63596491228121,46.351561835830736,24.7365894050982,28.911848759071052,51.06154906929048,39.151754385965255,41.484210526315955,56.14035087719298,43.859649122807014
MARS,57,0.017279212433215875,-0.0192194373984876,0.26095014150985923,0.7286303368384759,-0.5337997362012088,47.368421052631575,27,30,91.60964912280701,53.30249635993302,22.457431521105338,24.24007211896163,50.84832158002195,48.402631578947314,43.2070175438597,52.63157894736842,47.368421052631575
VENUS,57,-0.005763896340486338,-0.0144035449665872,0.23180599539741054,0.8191837312082947,-0.5052500087896603,43.859649122807014,25,32,79.27368421052635,46.49449642607651,21.60345712152135,31.902046452402143,53.34869049370438,35.160526315789625,44.11315789473673,38.59649122807017,61.40350877192983
SATURN,57,-0.0037214265026417064,-0.0351162036491932,0.20144653529315157,0.6381804856759361,-0.4934505278336847,42.10526315789473,24,33,75.9236842105264,43.34259207610092,29.93316548525095,26.724242438648133,47.03484361187255,38.24736842105248,37.676315789473925,49.122807017543856,50.877192982456144
