lagna_sign,samples,avg_return_pct,median_return_pct,std_return_pct,max_gain_pct,max_loss_pct,win_rate,positive_count,negative_count,average_trading_range,average_body_pct,average_upper_wick_pct,average_lower_wick_pct,average_close_position_pct,average_up_move,average_down_move,high_volatility_pct,low_volatility_pct
LEO,114,0.04134337030908759,0.037097460748903396,0.22915234992482159,0.9795931909563922,-0.4934505278336847,55.26315789473685,63,51,84.35000000000021,47.98687106448588,24.55490205248436,27.458226883029763,54.960437688354695,45.992982456140545,38.357017543859655,55.26315789473685,44.73684210526316
SCORPIO,14,0.018136985540089322,0.0022841204671162005,0.11802555520182947,0.3112984857699483,-0.1778797876918722,50.0,7,7,36.596428571428724,46.08325328208304,23.398994636461733,30.517752081455225,53.5134712946815,20.878571428571895,15.71785714285683,7.142857142857142,92.85714285714286
GEMINI,34,0.012549633381462278,0.00040380944729065046,0.2760433716625817,0.7286303368384759,-0.4646072344158647,50.0,17,17,111.49852941176472,43.60215727032646,29.496741601702446,26.901101127971092,49.728142257359345,59.33970588235281,52.15882352941191,85.29411764705883,14.705882352941178
CANCER,81,0.02003129843389564,-0.0104357989647687,0.25643046040712203,0.6381804856759361,-0.6605761888810984,49.382716049382715,40,41,97.54197530864231,47.00986176112537,22.60067094829995,30.389467290574682,55.95506927948986,47.237654320987836,50.30432098765447,64.19753086419753,35.80246913580247
LIBRA,59,-0.04200874297196521,-0.0166272116789534,0.20352203079184236,0.2837332492642134,-0.9941301928591928,47.45762711864407,28,31,66.53220338983041,42.00897071799842,26.166565303443857,31.824463978557723,50.42594112943718,26.087288135592875,40.444915254237536,23.728813559322035,76.27118644067797
VIRGO,97,-0.035724642042332326,-0.0382574560454976,0.21876328004348722,0.8191837312082947,-0.79404664945144,40.20618556701031,39,58,77.119587628866,47.713195456825844,22.457839231209928,29.82896531196424,49.47822067377758,32.03608247422673,45.083505154639276,42.2680412371134,57.73195876288659
