sun_sign,samples,avg_return_pct,median_return_pct,std_return_pct,max_gain_pct,max_loss_pct,win_rate,positive_count,negative_count,average_trading_range,average_body_pct,average_upper_wick_pct,average_lower_wick_pct,average_close_position_pct,average_up_move,average_down_move,high_volatility_pct,low_volatility_pct
CANCER,7,0.1290308058933737,0.0822373505969967,0.1735325375882168,0.37944097216467,-0.1258055881565642,85.71428571428571,6,1,73.60000000000011,47.81707693877335,20.65443078638774,31.528492274838914,73.447885815929,50.17857142857143,23.421428571428674,42.857142857142854,57.14285714285714
GEMINI,157,-0.006672114681624188,0.0092961953771053,0.19839855435768272,0.5104695358550952,-0.9941301928591928,50.318471337579616,79,78,67.94235668789814,45.778501092458505,26.259312555594576,27.962186351946922,51.12473563354289,32.66496815286616,35.27738853503198,28.662420382165603,71.3375796178344
TAURUS,144,0.004583942467530934,-0.012419671965677951,0.24045747412885982,0.8191837312082947,-0.79404664945144,47.91666666666667,69,75,89.36631944444463,48.18726745119526,23.372100788988583,28.44063175981615,53.1634028166078,43.627777777777816,45.738541666666805,61.111111111111114,38.88888888888889
ARIES,91,0.006117552262607081,-0.034300753161386,0.27146849225222786,0.9795931909563922,-0.561929918692482,43.956043956043956,40,51,100.8263736263738,44.52460995337695,22.524730529087833,32.95065951753522,52.92379312319595,46.856043956044175,53.97032967032962,70.32967032967034,29.67032967032967
