sun_nakshatra,samples,avg_return_pct,median_return_pct,std_return_pct,max_gain_pct,max_loss_pct,win_rate,positive_count,negative_count,average_trading_range,average_body_pct,average_upper_wick_pct,average_lower_wick_pct,average_close_position_pct,average_up_move,average_down_move,high_volatility_pct,low_volatility_pct
ASHWINI,7,0.10162701774191343,0.0347787695396229,0.14984627542396678,0.3093949817592386,-0.0732837141518702,71.42857142857143,5,2,88.74285714285672,34.27062773138905,35.703890123818574,30.02548214479238,59.35393289122867,65.91428571428489,22.828571428571845,57.14285714285714,42.857142857142854
PUNARVASU,66,-0.005709753726452592,0.01146392776371865,0.22626431044495063,0.5104695358550952,-0.9941301928591928,51.515151515151516,34,32,72.33257575757577,46.264770688670474,26.537888786999158,27.19734052433038,50.95254839080638,34.960606060605976,37.3719696969698,30.303030303030305,69.6969696969697
KRITTIKA,70,0.00952930596581448,0.010783569697600151,0.21912671099424277,0.5902964444095079,-0.4646072344158647,51.42857142857142,36,34,92.71285714285773,44.352621164554215,22.206180149020906,33.44119868642488,56.613953356698524,41.69785714285733,51.015000000000406,62.857142857142854,37.142857142857146
MRIGASHIRA,69,0.020511669337103418,-0.0034554772554133,0.20669336620214718,0.8191837312082947,-0.5012332779500304,49.275362318840585,34,35,71.30579710144926,45.57047766163605,23.272737298314855,31.156785040049094,55.07639504452742,35.74275362318819,35.56304347826106,40.57971014492754,59.42028985507246
ARDRA,63,-0.010858159314658996,-0.0090634192160996,0.20360121600893247,0.3896963615849257,-0.6605761888810984,49.2063492063492,31,32,68.84603174603185,48.462834819012464,26.498021990114502,25.03914319087304,49.90900239798585,34.16269841269841,34.68333333333344,33.33333333333333,66.66666666666666
ROHINI,61,-0.012197668246651182,-0.0104357989647687,0.2487518935501995,0.5839481850607094,-0.79404664945144,47.540983606557376,29,32,94.53442622950806,48.99265873485718,25.46866506448071,25.538676200662103,49.05819720600533,47.338524590163956,47.19590163934409,65.57377049180327,34.42622950819672
BHARANI,63,0.0013285464637282887,-0.0409519137224189,0.2913266409666773,0.9795931909563922,-0.561929918692482,39.682539682539684,25,38,100.27063492063515,46.48450401030303,20.60290078349224,32.91259520620473,52.91909487726262,44.95476190476227,55.31587301587287,68.25396825396825,31.746031746031743
