tithi,samples,avg_return_pct,median_return_pct,std_return_pct,max_gain_pct,max_loss_pct,win_rate,positive_count,negative_count,average_trading_range,average_body_pct,average_upper_wick_pct,average_lower_wick_pct,average_close_position_pct,average_up_move,average_down_move,high_volatility_pct,low_volatility_pct
KRISHNA_TRAYODASHI,5,0.07999101670931419,0.1522451948928212,0.16153324385144113,0.238081192007214,-0.1675793001669446,80.0,4,1,87.67000000000044,36.85410223055189,13.9757823359388,49.17011543350932,77.07536999683268,38.97999999999956,48.69000000000087,80.0,20.0
KRISHNA_EKADASHI,20,0.06424735939219442,0.06903715806589719,0.1896329923541119,0.356588342653489,-0.3860887530667616,80.0,16,4,88.73499999999967,43.466375926759035,28.785194134342753,27.74842993889821,59.09061975040095,52.23499999999967,36.5,65.0,35.0
SHUKLA_CHATURTHI,18,0.10208888397233126,0.07770068270532575,0.16444523200459166,0.37944097216467,-0.1258055881565642,72.22222222222221,13,5,73.88055555555587,44.085199806420974,23.374414234879715,32.54038595869932,66.17284181707944,46.052777777778225,27.827777777777655,44.44444444444444,55.55555555555556
SHUKLA_DASHAMI,14,0.09538102327654276,0.07943171161737264,0.15906760050670626,0.318386617707742,-0.1680416476421126,71.42857142857143,10,4,69.35357142857148,46.06078575074086,24.304339754469147,29.63487449479,65.07898414035242,44.22857142857096,25.12500000000052,35.714285714285715,64.28571428571429
SHUKLA_SAPTAMI,7,0.04689050108888091,0.1451180398548819,0.20744568053963347,0.2847341917604423,-0.3414984742898933,71.42857142857143,5,2,69.02857142857258,56.43178071858887,19.317199557822835,24.251019723588303,63.06925521072293,38.57142857142909,30.45714285714348,28.57142857142857,71.42857142857143
KRISHNA_DVITIYA,16,0.11739301944133299,0.11887917386882395,0.2212460742617118,0.5839481850607094,-0.2229088643210884,68.75,11,5,82.30000000000041,54.29351385744808,27.856645294104183,17.849840848447737,59.18061235296142,58.75000000000068,23.549999999999727,43.75,56.25
SHUKLA_PANCHAMI,12,0.013304640044280459,0.0496889836703954,0.14325789335352818,0.1866305778040984,-0.3019297064001155,66.66666666666666,8,4,65.85000000000007,41.003810576697795,29.050955121309,29.9452343019932,53.641248143649364,33.758333333333816,32.09166666666624,25.0,75.0
SHUKLA_DVITIYA,18,0.05200219332601762,0.0717232853933786,0.19838870835401579,0.4492295872636476,-0.4646072344158647,61.111111111111114,11,7,77.46944444444489,42.04273379667505,24.044934091770592,33.912332111554356,61.326393124253805,40.005555555555475,37.463888888889414,38.88888888888889,61.111111111111114
KRISHNA_CHATURDASHI,13,0.012308500113827066,0.0092961953771053,0.21064862573931117,0.3319720339965931,-0.3543209513527984,53.84615384615385,7,6,83.90769230769197,41.04218998888593,20.367743431492087,38.59006657962198,63.3798717970352,37.11538461538461,46.792307692307354,46.15384615384615,53.84615384615385
SHUKLA_EKADASHI,21,0.0047490379716684595,0.0279906449044585,0.19535657273559368,0.3093949817592386,-0.5337997362012088,52.38095238095239,11,10,72.9595238095237,45.97041390416977,23.883856444880074,30.145729650950166,55.3872475806818,37.84285714285718,35.116666666666525,33.33333333333333,66.66666666666666
KRISHNA_DVADASHI,12,0.09724035823204787,-0.0019075024077058987,0.35244823594927444,0.8191837312082947,-0.2529215323239339,50.0,6,6,106.3791666666666,54.87002888095895,14.59895181546539,30.531019303575665,61.64052986614221,53.587500000000546,52.79166666666606,66.66666666666666,33.33333333333333
KRISHNA_CHATURTHI,18,0.02036521216926352,0.02443373112886835,0.20176149617145228,0.2621741639278334,-0.4188494741505019,50.0,9,9,83.43055555555556,46.57995039407774,27.27305637136198,26.14699323456028,51.97504022256019,44.14444444444436,39.28611111111119,55.55555555555556,44.44444444444444
KRISHNA_TRITIYA,22,0.00855163581104036,-0.0034308486453576504,0.26347772395679503,0.6896322446189391,-0.561929918692482,50.0,11,11,93.22045454545447,40.700439249348136,27.59156561490479,31.707995135747083,52.802703801885336,47.81363636363626,45.40681818181822,50.0,50.0
KRISHNA_SAPTAMI,10,0.0005334256095168369,-0.022122040757722748,0.13897387356539137,0.2039173378775344,-0.2134913481968532,50.0,5,5,63.13500000000022,45.86786907465913,21.917518844574357,32.21461208076651,52.25501794587096,28.545000000000073,34.590000000000146,20.0,80.0
SHUKLA_TRAYODASHI,9,0.03364544369665524,-0.0188820968672439,0.3073465920851207,0.7286303368384759,-0.3541204874873337,44.44444444444444,4,5,92.10555555555564,43.458212247453844,36.154368774516016,20.387418978030144,40.990093865587596,58.29999999999968,33.80555555555596,55.55555555555556,44.44444444444444
KRISHNA_SHASHTHI,14,0.004098921245374312,-0.0594258375428862,0.24365436845428012,0.6381804856759361,-0.3166667348550158,42.857142857142854,6,8,80.54642857142893,50.03105780942713,20.2775220415353,29.691420149037572,53.43963085863295,36.44642857142909,44.099999999999845,42.857142857142854,57.14285714285714
