date,open,high,low,close,volume
2026-04-27 09:15:00+05:30,23945.45,24049.55,23936.2,24020.35,0
2026-04-27 09:20:00+05:30,24020.4,24067.5,24020.4,24046.6,0
2026-04-27 09:25:00+05:30,24044.45,24062.8,24025.3,24042.0,0
2026-04-27 09:30:00+05:30,24045.05,24057.7,24003.6,24008.85,0
2026-04-27 09:35:00+05:30,24008.9,24033.25,23998.3,24007.2,0
2026-04-27 09:40:00+05:30,24006.85,24045.4,24006.85,24045.4,0
2026-04-27 09:45:00+05:30,24043.9,24085.15,24043.45,24082.15,0
2026-04-27 09:50:00+05:30,24082.25,24101.55,24075.45,24099.8,0
2026-04-27 09:55:00+05:30,24099.15,24107.6,24092.35,24099.05,0
2026-04-27 10:00:00+05:30,24098.75,24102.65,24079.6,24080.2,0
2026-04-27 10:05:00+05:30,24079.1,24091.15,24068.9,24081.1,0
2026-04-27 10:10:00+05:30,24080.95,24090.0,24061.7,24063.3,0
2026-04-27 10:15:00+05:30,24063.9,24103.15,24063.9,24097.45,0
2026-04-27 10:20:00+05:30,24097.45,24098.0,24063.75,24066.3,0
2026-04-27 10:25:00+05:30,24067.3,24071.35,24045.4,24058.3,0
2026-04-27 10:30:00+05:30,24058.1,24061.2,24013.0,24023.2,0
2026-04-27 10:35:00+05:30,24022.5,24032.6,24014.4,24017.25,0
2026-04-27 10:40:00+05:30,24016.25,24049.7,24014.05,24043.45,0
2026-04-27 10:45:00+05:30,24041.6,24068.35,24025.75,24067.6,0
2026-04-27 10:50:00+05:30,24067.7,24088.95,24066.0,24080.1,0
2026-04-27 10:55:00+05:30,24079.85,24082.45,24071.35,24072.2,0
2026-04-27 11:00:00+05:30,24071.95,24076.6,24054.75,24063.6,0
2026-04-27 11:05:00+05:30,24062.85,24066.9,24026.85,24030.55,0
2026-04-27 11:10:00+05:30,24030.25,24059.3,24029.65,24056.9,0
2026-04-27 11:15:00+05:30,24055.45,24077.5,24053.3,24071.6,0
2026-04-27 11:20:00+05:30,24071.15,24073.05,24056.3,24058.0,0
2026-04-27 11:25:00+05:30,24057.4,24057.6,24029.7,24030.95,0
2026-04-27 11:30:00+05:30,24031.65,24039.85,24005.85,24014.15,0
2026-04-27 11:35:00+05:30,24012.9,24012.9,23974.4,23990.35,0
2026-04-27 11:40:00+05:30,23990.0,24002.1,23987.15,23998.65,0
2026-04-27 11:45:00+05:30,23998.45,24024.3,23984.3,24022.25,0
2026-04-27 11:50:00+05:30,24023.45,24023.45,24002.55,24019.2,0
2026-04-27 11:55:00+05:30,24019.3,24039.9,24018.35,24037.2,0
2026-04-27 12:00:00+05:30,24036.2,24038.3,24022.8,24030.25,0
2026-04-27 12:05:00+05:30,24028.6,24045.15,24027.0,24033.3,0
2026-04-27 12:10:00+05:30,24034.55,24044.85,24032.55,24040.5,0
2026-04-27 12:15:00+05:30,24039.85,24048.1,24035.7,24044.75,0
2026-04-27 12:20:00+05:30,24044.25,24046.25,24031.2,24043.75,0
2026-04-27 12:25:00+05:30,24043.6,24066.1,24042.45,24059.0,0
2026-04-27 12:30:00+05:30,24057.75,24077.95,24056.95,24076.05,0
2026-04-27 12:35:00+05:30,24075.15,24092.85,24074.7,24078.65,0
2026-04-27 12:40:00+05:30,24077.9,24082.5,24071.1,24075.7,0
2026-04-27 12:45:00+05:30,24074.75,24078.65,24069.7,24072.7,0
2026-04-27 12:50:00+05:30,24072.75,24084.0,24065.45,24074.3,0
2026-04-27 12:55:00+05:30,24073.25,24077.7,24067.2,24071.5,0
2026-04-27 13:00:00+05:30,24071.7,24088.4,24071.7,24082.3,0
2026-04-27 13:05:00+05:30,24082.5,24091.95,24069.4,24090.95,0
2026-04-27 13:10:00+05:30,24090.0,24100.0,24079.9,24099.75,0
2026-04-27 13:15:00+05:30,24100.2,24116.6,24099.2,24104.65,0
2026-04-27 13:20:00+05:30,24102.0,24112.4,24093.3,24109.95,0
2026-04-27 13:25:00+05:30,24109.4,24120.55,24106.55,24107.5,0
2026-04-27 13:30:00+05:30,24107.8,24110.95,24099.4,24109.0,0
2026-04-27 13:35:00+05:30,24108.9,24118.25,24107.05,24112.1,0
2026-04-27 13:40:00+05:30,24111.55,24127.2,24110.9,24116.25,0
2026-04-27 13:45:00+05:30,24114.75,24129.55,24108.4,24109.7,0
2026-04-27 13:50:00+05:30,24109.35,24117.1,24102.45,24116.3,0
2026-04-27 13:55:00+05:30,24115.2,24119.55,24106.2,24114.25,0
2026-04-27 14:00:00+05:30,24113.35,24120.3,24106.4,24114.3,0
2026-04-27 14:05:00+05:30,24113.1,24119.8,24105.65,24109.8,0
2026-04-27 14:10:00+05:30,24109.85,24124.55,24109.1,24122.2,0
2026-04-27 14:15:00+05:30,24122.1,24124.0,24110.55,24119.65,0
2026-04-27 14:20:00+05:30,24118.7,24119.85,24108.15,24110.0,0
2026-04-27 14:25:00+05:30,24109.65,24112.8,24102.2,24111.2,0
2026-04-27 14:30:00+05:30,24109.9,24110.45,24080.45,24083.5,0
2026-04-27 14:35:00+05:30,24083.0,24107.45,24078.9,24096.65,0
2026-04-27 14:40:00+05:30,24097.15,24112.5,24091.75,24110.65,0
2026-04-27 14:45:00+05:30,24110.05,24111.5,24097.8,24107.75,0
2026-04-27 14:50:00+05:30,24105.6,24126.15,24103.3,24126.15,0
2026-04-27 14:55:00+05:30,24125.6,24130.7,24113.8,24121.95,0
2026-04-27 15:00:00+05:30,24118.2,24119.45,24093.35,24099.55,0
2026-04-27 15:05:00+05:30,24098.95,24100.25,24089.8,24093.7,0
2026-04-27 15:10:00+05:30,24093.05,24102.7,24088.95,24094.3,0
2026-04-27 15:15:00+05:30,24095.15,24096.5,24077.85,24079.8,0
2026-04-27 15:20:00+05:30,24081.5,24099.55,24079.65,24090.3,0
2026-04-27 15:25:00+05:30,24090.2,24112.75,24082.25,24110.2,0
2026-04-28 09:15:00+05:30,24049.9,24096.95,23999.25,24093.85,0
